Terminal S Parameter Plot1
Freq [GHz]
5.31 -8.6234
5.325 -8.57154
5.34 -8.52027
5.355 -8.46959
5.37 -8.41948
5.385 -8.36995
5.4 -8.32098
5.415 -8.27256
5.43 -8.2247
5.445 -8.17737
5.46 -8.13058
5.475 -8.08431
5.49 -8.03857
5.505 -7.99333
5.52 -7.94861
5.535 -7.90438
5.55 -7.86065
5.565 -7.8174
5.58 -7.77463
5.595 -7.73233
5.61 -7.69051
5.625 -7.64914
5.64 -7.60822
5.655 -7.56776
5.67 -7.52774
5.685 -7.48815
5.7 -7.449
5.715 -7.41027
5.73 -7.37196
5.745 -7.33406
5.76 -7.29658
5.775 -7.25949
5.79 -7.22281
5.805 -7.18651
5.82 -7.15061
5.835 -7.11509
5.85 -7.07994
5.865 -7.04517
5.88 -7.01077
5.895 -6.97673
5.91 -6.94305
5.925 -6.90973
5.94 -6.87675
5.955 -6.84413
5.97 -6.81184
5.985 -6.77989
6 -6.74827
dB(St(FloquetPort1:1,FloquetPort1:1)) []
__settings__ -1 8 2 0 1 1
3 -0.847508
3.015 -0.827853
3.03 -0.808643
3.045 -0.789875
3.06 -0.771544
3.075 -0.753647
3.09 -0.736178
3.105 -0.719134
3.12 -0.702512
3.135 -0.686306
3.15 -0.670512
3.165 -0.655127
3.18 -0.640146
3.195 -0.625566
3.21 -0.611381
3.225 -0.597588
3.24 -0.584183
3.255 -0.571161
3.27 -0.558518
3.285 -0.54625
3.3 -0.534353
3.315 -0.522823
3.33 -0.511655
3.345 -0.500845
3.36 -0.490389
3.375 -0.480284
3.39 -0.470524
3.405 -0.461106
3.42 -0.452025
3.435 -0.443277
3.45 -0.434859
3.465 -0.426765
3.48 -0.418993
3.495 -0.411537
3.51 -0.404394
3.525 -0.39756
3.54 -0.39103
3.555 -0.384801
3.57 -0.378869
3.585 -0.373229
3.6 -0.367877
3.615 -0.362811
3.63 -0.358024
3.645 -0.353515
3.66 -0.349278
3.675 -0.345311
3.69 -0.341608
3.705 -0.338167
3.72 -0.334983
3.735 -0.332053
3.75 -0.329372
3.765 -0.326938
3.78 -0.324746
3.795 -0.322793
3.81 -0.321076
3.825 -0.319589
3.84 -0.31833
3.855 -0.317296
3.87 -0.316483
3.885 -0.315886
3.9 -0.315504
3.915 -0.315332
3.93 -0.315366
3.945 -0.315605
3.96 -0.316043
3.975 -0.316678
3.99 -0.317507
4.005 -0.318526
4.02 -0.319731
4.035 -0.321121
4.05 -0.322691
4.065 -0.324439
4.08 -0.326362
4.095 -0.328455
4.11 -0.330717
4.125 -0.333144
4.14 -0.335734
4.155 -0.338482
4.17 -0.341388
4.185 -0.344447
4.2 -0.347656
4.215 -0.351014
4.23 -0.354517
4.245 -0.358162
4.26 -0.361947
4.275 -0.365869
4.29 -0.369925
4.305 -0.374113
4.32 -0.37843
4.335 -0.382874
4.35 -0.387442
4.365 -0.392132
4.38 -0.396941
4.395 -0.401866
4.41 -0.406906
4.425 -0.412058
4.44 -0.41732
4.455 -0.422689
4.47 -0.428164
4.485 -0.433741
4.5 -0.439419
4.515 -0.445196
4.53 -0.451069
4.545 -0.457036
4.56 -0.463095
4.575 -0.469245
4.59 -0.475482
4.605 -0.481806
4.62 -0.488214
4.635 -0.494704
4.65 -0.501275
4.665 -0.507924
4.68 -0.514649
4.695 -0.52145
4.71 -0.528323
4.725 -0.535267
4.74 -0.542281
4.755 -0.549362
4.77 -0.55651
4.785 -0.563721
4.8 -0.570996
4.815 -0.578331
4.83 -0.585726
4.845 -0.593179
4.86 -0.600688
4.875 -0.608253
4.89 -0.61587
4.905 -0.623539
4.92 -0.631259
4.935 -0.639027
4.95 -0.646843
4.965 -0.654706
4.98 -0.662613
4.995 -0.670563
5.01 -0.678556
5.025 -0.686589
5.04 -0.694662
5.055 -0.702774
5.07 -0.710922
5.085 -0.719106
5.1 -0.727325
5.115 -0.735578
5.13 -0.743862
5.145 -0.752178
5.16 -0.760524
5.175 -0.768899
5.19 -0.777301
5.205 -0.785731
5.22 -0.794186
5.235 -0.802666
5.25 -0.81117
5.265 -0.819696
5.28 -0.828244
5.295 -0.836813
5.31 -0.845401
5.325 -0.854009
5.34 -0.862634
5.355 -0.871277
5.37 -0.879935
5.385 -0.888609
5.4 -0.897298
5.415 -0.906
5.43 -0.914715
5.445 -0.923441
5.46 -0.932179
5.475 -0.940928
5.49 -0.949686
5.505 -0.958452
5.52 -0.967227
5.535 -0.97601
5.55 -0.984799
5.565 -0.993594
5.58 -1.00239
5.595 -1.0112
5.61 -1.02001
5.625 -1.02882
5.64 -1.03764
5.655 -1.04645
5.67 -1.05527
5.685 -1.06409
5.7 -1.07291
5.715 -1.08173
5.73 -1.09055
5.745 -1.09936
5.76 -1.10818
5.775 -1.11699
5.79 -1.1258
5.805 -1.1346
5.82 -1.1434
5.835 -1.1522
5.85 -1.16099
5.865 -1.16978
5.88 -1.17855
5.895 -1.18733
5.91 -1.19609
5.925 -1.20485
5.94 -1.2136
5.955 -1.22234
5.97 -1.23108
5.985 -1.2398
6 -1.24852
dB(St(FloquetPort2:1,FloquetPort1:1)) []
__settings__ -1 9 2 0 1 1
